"SheetRow","Address","City","Zip","Code","MatchRow","Flag","Source"
"43","1009 Twin Forks Lane","St Paul","68873","0","269255","OK","2021 Q3 Address Data.xlsx"
"44","223 Mill Street South","Dannebrog","68831","134","208594","OK - REPAIRED: direction on the wrong end","2021 Q3 Address Data.xlsx"
"45","2026 Binfield Road","Doniphan","68832","0","FALLBACK - row 114521 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"46","1295 37th Rd","David City","68632",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"47","2222 L St.","Fairbury","68352","179","190076","OK","2021 Q3 Address Data.xlsx"
"48","703 G Street","Geneva","68361","198","161166","OK","2021 Q3 Address Data.xlsx"
"49","4155 East Hwy 30","Grand Island","68801",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"50","920 N Shady Bend Rd ","Grand Island","68801","210","258149","OK","2021 Q3 Address Data.xlsx"
"51","2717 Highway 8","Traer","50675",,,"OOS",""
"52","2819 W Old Hwy 30","Grand Island","68803",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"53","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"54","4155 East Hwy 30","Grand Island","68801",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"55","920 N Shady Bend Road","Grand Island","68801","210","258149","OK","2021 Q3 Address Data.xlsx"
"56","4155 East Hwy 30","Grand Island","68801",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"57","4155 East Hwy 30","Grand Island","68801",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"58","410 Railroad St","Hardy","68943",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"59","410 Railroad St","Hardy","68943",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"60","108 North Adams St.","Harvard","68944","229","104335","OK","2021 Q3 Address Data.xlsx"
"61","951 Oak Street","Henderson","68371","0","FALLBACK - row 217571 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"62","104 Johnson St","Hubbell","68375","0","FALLBACK - row 185909 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"63","7980 E Hwy 30 ","Kearney","68847",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"64","6540 East 39th Street","Kearney","68847","0","57392","OK","2021 Q3 Address Data.xlsx"
"65","6540 East 39th Street","Kearney","68847","0","57392","OK","2021 Q3 Address Data.xlsx"
"66","6540 East 39th Street","Kearney","68847","0","57392","OK","2021 Q3 Address Data.xlsx"
"67","7280 Gibbon Road","Gibbon","68840","0","FALLBACK - row 163416 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"68"," 44740 West Hwy 30","Gibbon","68840",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"69","435 Railroad","Axtell","68924",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"70","2800 Leighton Ave","Lincoln","68504",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"71","203 Railroad Street","Marquette","68854","305","237996","OK","2021 Q3 Address Data.xlsx"
"72","1185 33 Road","Minden","68959",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"73","901 20TH AVE","Franklin","68939","190","36746","OK","2021 Q3 Address Data.xlsx"
"74","905 Murphy Road","Phillips","68865",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"75","84760 Hwy 14 South","Neligh","68756",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"76","107 Main St.","Ong","68452",,"","NO CODE-CITY","2021 Q3 Address Data.xlsx"
"77","1561 13th Road","Central City","68826","0","14381","OK","2021 Q3 Address Data.xlsx"
"78","314 South St.","Republic","66964",,,"OOS",""
"79","2922 Antelope Ave","Kearney","68847","269","106229","OK","2021 Q3 Address Data.xlsx"
"80","2449 Rd 4500","Edgar","68935","0","239029","OK","2021 Q3 Address Data.xlsx"
"81","30250 Shelton Road","Ravenna","68869","0","258385","OK","2021 Q3 Address Data.xlsx"
"82","614 2nd Street","St Paul","68873","454","49240","OK","2021 Q3 Address Data.xlsx"
"83","614 2nd Street","St Paul","68873","454","49240","OK","2021 Q3 Address Data.xlsx"
"84","614 2nd Street","St Paul","68873","454","49240","OK","2021 Q3 Address Data.xlsx"
"85","104 South Dakota Street","Superior","68978",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"86","2201 East 1st Street ","Superior","68978",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"87","372 Midland Street","Upland","68981",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"88","372 Midland Street","Upland","68981",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"89","6236 Schauppsville Road","Wood River","68883","0","256821","OK","2021 Q3 Address Data.xlsx"
"90","1320 Road L","York","68467","0","249972","OK","2021 Q3 Address Data.xlsx"
"91","1320 Road L","York","68467","0","249972","OK","2021 Q3 Address Data.xlsx"
"92","1320 Road L","York","68467","0","249972","OK","2021 Q3 Address Data.xlsx"
"93","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"94","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"95","2306 E 5 Road","Henderson","68371","0","FALLBACK - row 75566 (unvalidated)","FALLBACK","2021 Q3 Address Data.xlsx"
"96","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"97","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"98","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"99","5735 Airport Road","Kearney","68848",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"100","76195 N. Highway 61","Grant ","69140","0","177013","OK","2021 Q3 Address Data.xlsx"
"101","4100 South 13th St","Norfolk","68701","0","13982","OK","2021 Q3 Address Data.xlsx"
"102","620 East Hwy 6 ","Minden","68959",,"","NO MATCH","2021 Q3 Address Data.xlsx"
"103","1404 North Highway 14","Aurora","68818","0","174058","OK","2021 Q3 Address Data.xlsx"
"104","2701 FM 179","Hale Center","79041",,,"OOS",""
"105","1706 CR N","Lamesa","79331",,,"OOS",""
"106","2321 S US Hwy 385","Levelland","79336",,,"OOS",""
"107","610 1st St","Olton","79064",,,"OOS",""
"108","14529 County Road 19","Perryton","79070",,,"OOS",""
"109","13357 Hwy 136","Gruver","79040",,,"OOS",""
"110","1842 Broad Street","Pocomoke","21851",,,"OOS",""
"111","128 CO Rd 401","Holland","76534",,,"OOS",""
"112","9817 Highway 62","Wolfforth","79382",,,"OOS",""
"113","25258 413th Ave","Mitchell","57301",,,"OOS",""
"114","PO Box 448","Tyndall","57066",,,"OOS",""
"115","PO BOX 1208 1392 FM 400","Plainview","79072",,,"OOS",""
"116","2701 FM 179","Hale Center","79041",,,"OOS",""
"117","2225 Q Street ","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
"118","36395 Hwy 385","Wray","80758",,,"OOS",""
"119","37368 State Highway 59","Yuma","80759",,,"OOS",""
"120","2225 Q St","Aurora","68818","0","236652","OK","2021 Q3 Address Data.xlsx"
